_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
24.498375,46.5,40000,-63.87725091,-62.94031684,-42.87804562,2.889731692,-61.78570521,-68.26656398,-33.09350148,-33.09350148,2.091545699,-5.326247144,9.784544143,-35.98323317,0.015776264,0.523576179,-1.572088505,-7.388502717,0.046471328,0.999999998,26,7.94,29.83947694,0.096,1.0164167,0.9869973,0.9999775,0.34463057,2.22E-06,0.00012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.072625,46.5,40000,-13.8147374,15.93476119,-13.8147374,-97.38360244,-7.771248969,15.934708,-20.12276016,-20.12276016,6.043488435,-5.32E-05,-6.308022753,77.26084228,0.016002756,0.525226261,-1.828772091,-5.630436774,-0.016527616,0.999999998,27,8.23,34.74752331,0.092,1.0068403,0.98784196,0.99997395,0.34482065,2.91E-06,0.000115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.834725,46.5,40000,-26.11312777,-34.74049639,-14.34212379,-4.396002995,-11.61166091,-25.60663032,-16.98454077,-16.98454077,14.50146685,9.133866072,-2.642416982,-12.58853778,0.018373755,0.526451323,-1.159884583,-7.031329255,0.001321848,0.999999999,28,8.55,22.03738046,0.088,1.0232779,0.95493233,0.9998411,0.34282184,3.59E-05,0.00011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.751725,48,40000,-18.5875132,-16.45455181,-16.45455181,-5.813111111,-18.58757068,-16.45457606,-16.45457606,-16.45457606,-5.75E-05,-2.43E-05,-2.43E-05,-10.64146495,0.011967886,0.520076004,-1.781159239,-9.040890282,0.150847481,0.999999998,29,8.87,33.8478092,0.084,1.0138903,0.9643302,0.9999666,0.34503362,3.16E-06,0.000105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.12545,46,40000,-9.018399561,-12.47293588,-9.018399561,-9.018399561,-9.821673609,-12.99725941,-8.275380563,-8.275380563,-0.803274048,-0.52432353,0.743018998,0.743018998,0.016892532,0.536176809,-1.591074955,-7.138950049,-0.00773076,0.999999998,30,9.2,30.2574228,0.08,1.0082332,0.984082,0.9999939,0.34345183,6.65E-07,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
