,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,
0,0,-24.99711951,0,-996.7382719,1,-764.8915557,0,209.271573,0,124.5884814,1,294.0173877,1,-803.2004303,1,230.0307831,0,-860.7870318,0,-1385.215525,0,451.891076,1,-4.406138498,1,53.48979144,0,-776.2257727,1,223.8263711,0,-18.59462991,1,371.4161897,0,62.64572134,0,72.4793968,1,318.8560017,0,-777.7880825,0,-295.9026707,0,-890.4798664,1,190.726568,0,-2140.400366
0,0,-54.82301782,0,-1014.794861,0,-183.9948819,1,336.2964321,1,364.8875472,0,172.1312997,0,-1152.048928,0,237.6890172,0,377.2295324,1,151.8886348,0,369.746082,1,-212.7631854,1,-315.8831145,0,381.7489135,0,239.79797,1,-196.2178019,0,387.4846427,1,207.2182782,0,-195.9111614,1,-29.88447201,1,367.9644568,1,107.8446349,1,-166.8036771,1,-363.1500842,1,-460.1965249
0,0,-47.06467416,0,570.6420337,1,233.3179856,1,422.669616,0,229.9740876,1,52.83183539,0,-867.852125,1,99.75194527,1,-1297.911455,0,243.1295787,1,364.7063632,0,-220.4197789,1,47.09082677,0,291.857901,1,305.9659598,0,68.9214675,0,347.6323067,1,300.041326,1,-152.9333854,0,112.6690616,0,48.28126198,0,289.7463946,0,306.1950805,0,-11.81528276,0,190.4712304
0,1,-35.14331544,1,89.09286903,0,-1078.265152,0,-870.2230285,1,334.9953335,0,291.3932229,1,-756.5494012,1,8.791404208,1,280.0348255,1,305.0570359,0,327.660962,1,-46.77461587,1,228.495722,1,295.6451806,0,352.7139681,1,-33.60184215,1,38.32702629,1,-76.57956421,1,-53.59823349,0,91.41293072,1,364.8435987,1,250.6696866,0,310.0172924,0,-314.3318761,1,-548.713838
0,0,-102.6288626,0,-26.8191496,0,-810.3338389,1,469.6779799,0,402.9641713,0,240.3529359,0,-522.8802697,1,136.0227206,0,286.4921511,1,144.1312143,0,395.054681,0,-478.761576,0,325.135528,1,-182.7124164,1,430.8156344,1,142.6929137,0,-382.6418269,1,261.890324,1,346.1186671,1,57.43182556,0,326.5748925,1,364.6039442,1,361.4644564,1,-920.8685269,1,-691.1978705
0,0,-107.3001948,0,-561.0617511,1,-0.507202281,0,-1186.510197,0,156.8589542,1,313.9404496,0,-671.307737,1,-35.79491672,1,335.403677,0,196.1532672,0,432.5020414,0,-774.1873032,1,211.2697701,0,-58.65652808,0,149.8317079,0,446.6140123,0,230.9426043,1,355.4576378,1,268.6106549,1,201.3937913,0,332.3225399,0,265.7128994,0,391.2730412,0,-545.7596245,1,-1434.422395
0,0,-111.1417118,0,-949.5102696,0,-275.9141036,0,-1420.839774,0,228.4391912,0,251.2501994,0,163.8761867,1,146.1017001,0,137.9622195,0,108.1323973,0,443.1439971,0,-208.4881991,1,-247.4844217,0,-210.0106387,0,255.818181,1,176.1827994,1,254.7997114,0,364.1620436,0,-579.1022327,0,192.6280161,0,357.6246053,1,182.5898473,1,-128.9418334,1,-811.5902959,1,402.7110743
0,1,-124.6607937,1,-1506.24074,1,-533.4200199,1,-333.6915292,0,-769.566708,0,-58.62168421,1,390.4540066,1,75.43244274,1,-52.62864582,0,-50.7135345,1,200.8442201,1,-437.493321,1,-233.4380855,1,279.2442713,0,129.856218,1,-133.5083024,0,294.6112867,0,320.2026709,0,-619.1516099,1,-127.1859955,0,376.5665238,0,198.4754445,1,278.9747592,1,93.68700049,1,478.5957064
0,1,-145.9182391,1,103.7854927,0,199.9738566,0,-8.33394526,0,-910.2103718,0,32.64853266,0,336.3406661,1,74.86636726,1,-365.7554426,0,167.6830147,0,-1278.08218,1,-781.662572,0,-702.7929129,1,40.55477397,0,-784.08444,1,-385.0033376,1,10.92884176,0,267.9745626,1,-126.630474,0,-46.20560802,0,-318.146925,0,297.6812549,0,212.9023914,0,171.9892739,0,321.4226143
0,0,-52.65824508,0,476.9711476,0,412.4091482,0,-304.795078,1,-816.7909454,1,-62.80636684,0,-144.2943923,1,-60.97430606,1,248.9369184,1,272.0199186,0,-1863.689833,1,-658.1835022,0,207.3708641,0,219.6527269,0,-511.5834686,1,-276.3905327,1,-413.3240361,1,148.171869,1,142.8894207,1,329.7164515,0,-109.0357841,0,353.8629036,0,315.0790862,1,255.9259946,1,177.6384021
