_AverageReward,_No_optimal_actions,Steps,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[5 0],v2_[5 0],v1_[2 1],v2_[2 1],v1_[3 1],v2_[3 1],v1_[4 1],v2_[4 1],u_advavg_diff,n_advavg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
22.298575,50.5,40000,-11.156228995542788,-773.4872485245061,-23.923775876882043,-747.1006359802844,-3.815825224102719,-817.1204226583939,-1.9237999980267784,-883.5905990755897,-1.0592608893242728,-963.4747142262092,-1.2829250858277703,-791.114967879736,-3.418826834658024,-1066.2573440526442,-6.22575385992913,-845.7380998355885,-8.228335563049624,-918.7482293637938,-6.119175013215087,-1002.6534875452061,874.2131841801395,850.6479610971704,0.026357214602440726,0.49857492874643733,-1.3744045345890041,-7.121847372142796,-0.0728520235766212,0.999999999125515,25,7.73,26.092826008796692,0.1,1.0419886,0.9739806,0.99995595,0.34641176,1.3019482e-05,0.000125
25.633725,50.0,40000,-10.973400746573326,-770.1848611002873,-23.731321038280857,-744.9918385455688,-3.711769095095262,-812.0704069450867,-2.2811871255018366,-877.2394486582617,-1.337735295390236,-956.5758577388962,-1.3057458253747316,-788.0618830818912,-3.0709144260959746,-1059.642725355147,-6.1260854045962905,-842.7806731771113,-8.118141628724526,-914.0267117688732,-6.121055412292618,-998.1864978603284,869.6983548233527,851.1625248316204,0.031249202835375956,0.4983499174958748,-1.4355474290004806,-6.067767420338297,-0.10536507248985405,0.999999999185726,26,8.06,27.283905863761902,0.096,1.0198802,0.98691505,0.99994737,0.34635803,2.3716489e-06,0.00012
20.692325,50.0,40000,-10.869666298841265,-776.0066288535672,-23.812859058322797,-749.4867134012064,-4.159532262243938,-818.9783032511405,-2.386119127803791,-883.2024609273417,-1.9066141490625093,-964.3701702311757,-1.2392870777273146,-790.3723658751185,-3.2866126304341425,-1066.9280681069627,-6.5716884331122385,-846.4755427490855,-7.938514025675852,-921.5111551604147,-5.65569164825089,-1007.0637711551683,875.6568594999706,852.879887983144,0.02547471012350702,0.503575178758938,-1.577874492375679,-6.246165564982398,-0.2336464876927481,0.9999999989515687,27,8.37,29.995870113372803,0.092,1.0041025,0.9942311,0.9999878,0.34643757,7.367817e-07,0.00011499999999999999
29.368,50.5,40000,-10.643955010850412,-769.9137700286251,-23.52681000966266,-744.6507641278596,-4.317702686452218,-813.3607190067152,-2.2270435258425527,-879.4644652916837,-2.054401068850449,-960.7190195080328,-1.273071988769386,-784.7360747720364,-4.012768808882126,-1063.7957612639134,-6.621110452509399,-839.8817298496823,-7.72221712272312,-914.5873223283519,-5.3344143369357715,-1001.3349098325679,870.471104099799,853.1343155543684,0.031639556340823695,0.491899594979749,-1.1544055983062658,-6.158298321231124,-0.1937466450089546,0.9999999994089244,28,8.69,21.951128482818604,0.088,1.1297313,0.9573537,0.99991393,0.3454893,3.2085907e-05,0.00010999999999999999
23.339825,50.0,40000,-10.565680614396546,-773.8192376082043,-23.518307113822814,-746.9825934593614,-4.444765855441785,-816.3035152214928,-2.3273648637655526,-882.1458432463586,-1.7386600020853966,-965.1505916743424,-1.2543951134076026,-789.0043862815684,-3.8233953606794784,-1068.1422204299931,-6.542918369895778,-844.2157562546581,-8.060305295294532,-918.9455734763516,-5.301593557608534,-1004.8117067986063,874.1944038304539,856.1609796971085,0.02886274302873506,0.5054252712635632,-1.633104159216557,-7.00278216730809,-0.35761999561330504,0.9999999990183019,29,9.0,31.041150212287903,0.08400000000000002,1.0188558,0.9852486,0.99996585,0.3464848,2.0291127e-06,0.00010500000000000002
21.476575,49.5,40000,-10.56270855579011,-779.1623345857222,-23.64865306193658,-752.1047323339197,-4.4852020832446895,-822.344696400569,-2.4802619197431133,-887.7283968585564,-1.4912887457864499,-970.4260472112103,-1.198544118643639,-792.3880637760707,-3.757522302943606,-1071.7369235890642,-6.334534974244018,-848.0067097235549,-8.254763453711499,-921.9622208907222,-5.31255481357392,-1008.556963011868,878.6891054351639,857.5128884209346,0.026741471292831116,0.5069003450172509,-1.3757272820049438,-6.7562741922164875,-0.16400135160883964,0.9999999991118644,30,9.33,26.12956392765045,0.08000000000000002,1.0082189,0.99345624,0.99996465,0.34649462,2.8252264e-06,0.0001
26.108675,49.5,40000,-10.410501956893574,-776.5480289457116,-23.485301964897456,-751.0679163206903,-4.5894036968834975,-819.3135406343896,-2.730963850700187,-882.929301046534,-1.299999084550698,-963.9115635657686,-1.1295988949932099,-789.5771773263635,-3.8310607548977456,-1063.3540104005,-6.316701358700653,-844.087010290338,-8.289563810101242,-917.3617187051314,-5.323941652996718,-1002.937490858538,874.3680721068351,858.0385156758309,0.0329367960866311,0.5018750937546878,-1.3044685741627928,-5.203488545412464,-0.05428689694978047,0.9999999992827352,31,9.66,24.77716052532196,0.07600000000000001,1.0187789,0.9761086,0.9999339,0.34632093,1.3213102e-05,9.5e-05
24.15955,49.5,40000,-10.408437276798661,-774.5258548112195,-23.43875219648741,-748.8360661498789,-4.73181508838573,-816.3660888194441,-3.042551073458485,-881.3686003765415,-1.5921050367810177,-964.1986570054534,-0.9411818606274293,-791.1081732992894,-4.0916050661377605,-1065.9211534806534,-6.164706832002277,-844.0408839794239,-8.033407690937317,-918.4832414841075,-5.1316266950485705,-1008.2464825455465,874.5519013134893,858.2298672087943,0.02792259033150381,0.5013750687534376,-1.387134359586128,-6.473697580730462,0.009830472758939342,0.9999999991742281,32,10.0,26.347908854484558,0.072,1.0207664,0.97356474,0.9999411,0.34643352,1.3727341e-05,8.999999999999999e-05
33.355025,50.5,40000,-10.37972525356425,-772.6416464232369,-23.3916551387973,-747.3536981112061,-4.674442787121479,-815.8800562603236,-2.9415274936790183,-879.9634005899806,-1.5947416174137925,-961.8291354171112,-1.0763898649942432,-788.2356835328856,-4.076172657549939,-1063.360579565715,-6.024872332194797,-842.0345270200595,-7.814932044071673,-915.4089506809657,-5.040897711128517,-1002.7012071913189,872.2393527892287,859.2585540859889,0.03514919644809823,0.48752437621881095,-1.1683850539794627,-5.47641808158068,-0.06516337917763933,0.9999999994931901,33,10.35,22.19923770427704,0.06799999999999999,1.0226523,0.98158884,0.99994284,0.34624252,1.1473756e-05,8.499999999999999e-05
30.3959,50.0,40000,-10.42169014290596,-774.6262072080457,-23.330830079338103,-749.1473679454302,-4.744974317412753,-817.1178933536438,-2.94931910555733,-881.0451014512665,-1.7061064552324547,-963.0148481975613,-0.9238250805341568,-789.799074737864,-4.032380916263056,-1064.7738198388681,-6.1090545191563335,-844.3933600236112,-7.628311734920809,-916.7863199598454,-4.986162824444457,-1003.8994935888705,873.7770831129241,860.35310633275,0.0348141762413596,0.4952247612380619,-1.1486597665161187,-5.4317961210281736,-0.1017615216759129,0.9999999994651136,34,10.69,21.84669816493988,0.06399999999999999,1.0157604,0.9739812,0.9999711,0.34626862,1.6410028e-06,7.999999999999999e-05
