_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[12  1],[12  1]1 action taken,[12  1]adv,[11  3],[11  3]1 action taken,[11  3]adv,[2 2],[2 2]1 action taken,[2 2]adv,[16  1],[16  1]1 action taken,[16  1]adv,[7 4],[7 4]1 action taken,[7 4]adv,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
26.74144,48.0,100000,9.29906867039437e-06,93,0,230.40663687356465,57,0,300.49340136005077,4,0,-632.2147187887274,199,0,3297.2910909155053,148,0,-2021.2298715052139,0.5463992798559711,-0.0059513885554448595,-8.606428410344737,7.617198176142432,0.9999999983921747,38,21.6,0.273314175195992,0.048,1.0273837,0.95965225,0.9999573,0.3436232,2.2169983e-05,6e-05
21.34626,48.0,100000,5.380222844228639e-06,180,1,-946.1397615669889,500,1,473.55174585739104,337,1,373.27107005785564,96,0,1845.8659984783758,532,1,-467.08073624920223,0.5513302660532107,0.02723436496599144,-8.473980929669416,9.586522585251641,0.9999999981439933,39,22.16,-1.30580958398059,0.044,1.0407536,0.9774722,1.0000271,0.34456033,7.692776e-05,5.4999999999999995e-05
27.47971,47.5,100000,7.824579706315408e-06,1193,0,99.48906895175446,1001,0,2565.524912915967,42,1,72.038542295041,1243,1,1990.8067447934263,581,0,-478.44784517115045,0.5448189637927585,-0.009409280264837592,-7.69860832791802,6.500147676434545,0.9999999984437624,40,22.73,0.4539612417574972,0.039999999999999994,1.0203803,0.9875313,0.9999959,0.34464315,7.965716e-06,4.999999999999999e-05
23.70554,48.0,100000,4.996980625983641e-06,1211,1,-1796.7799930145948,1247,1,-979.5269439656572,125,0,386.1609598417031,1215,1,1921.942909833188,104,0,830.660995930556,0.5412982596519303,0.019541844074778353,-8.06164903840584,13.40658071234563,0.9999999983130584,41,23.29,-0.9512840022798628,0.03600000000000001,1.0136075,0.99203527,0.99999976,0.34471878,6.5890174e-07,4.5000000000000016e-05
25.07601,48.0,100000,5.03344266722531e-06,366,0,1695.3211603846155,726,1,651.7703418598044,169,1,97.66410377217622,1427,1,-798.7612610985702,442,1,943.3033691045496,0.542368473694739,0.003811544156784084,-8.573773848291891,6.7730067554078435,0.999999998327125,42,23.85,-0.1781320138834417,0.03200000000000001,1.0076684,0.9947356,1.0000006,0.34472117,6.481481e-07,4.000000000000001e-05
22.53077,48.0,100000,5.4140836215075245e-06,1767,0,670.8105116566501,1078,1,534.9672901304182,397,0,377.3830329459292,4112,0,-863.1146777041873,264,0,392.23963128878125,0.5420584116823365,0.015276579219497563,-7.712811855734938,7.678338533788255,0.9999999982417649,43,24.41,-0.7354675512760878,0.028000000000000004,1.0047867,0.9962077,1.0000006,0.34479412,4.3310067e-07,3.5000000000000004e-05
25.86501,48.0,100000,7.148358202951141e-06,382,0,1750.9228694209262,1144,0,386.88375306305994,89,1,-281.12067100744775,479,1,833.0790351090566,0,0,268.28841451143137,0.5383876775355071,-0.0041017546776451015,-8.3402725000161,7.399911594164708,0.9999999983745985,44,24.99,0.18707982799969614,0.024,1.0164981,0.974529,0.9999962,0.34464124,5.6269487e-06,3e-05
24.58753,47.5,100000,4.6080474549868274e-06,1,0,790.702158939039,74,1,-885.339867896452,243,1,-149.85046472872818,173,0,2583.144174051967,2075,0,964.8226530806535,0.5417683536707342,0.003956943077018851,-6.975630149632668,7.145982526143437,0.999999998331062,45,25.56,-0.21028244402259588,0.019999999999999997,1.0122459,0.9913635,0.9999987,0.34479576,2.3901412e-06,2.4999999999999994e-05
28.69047,47.5,100000,5.906086458077935e-06,472,0,-1534.5377566627237,30,0,2061.3694827882505,594,1,374.89429609787226,8,1,163.4433857555424,37,0,11.375911676720648,0.5395479095819163,-0.007745908001837456,-7.882477578140711,7.161837307507503,0.9999999984724314,46,26.13,0.3688799194060266,0.015999999999999993,1.0096574,0.9936534,1.0000135,0.3447371,1.6979274e-06,1.999999999999999e-05
28.94748,47.0,100000,8.828386453780773e-06,32,1,-1580.8138618517012,1160,0,-72.3895993414755,222,0,-52.23012147129809,123,0,541.6490944140248,15,1,-502.91978631228955,0.5411582316463293,-0.009149166425345898,-7.774738425736229,7.161342830866093,0.9999999984906816,47,26.74,0.41730854474008083,0.01200000000000001,1.0030557,0.9965669,0.9999982,0.34450656,1.115669e-06,1.5000000000000014e-05
26.47427,48.5,100000,7.834207576183767e-06,777,1,2381.5695331080383,869,0,1416.784104160178,1,1,80.14228106478757,965,0,690.6302447444025,341,1,-1966.499956267088,0.5375075015003,-0.005625065840969992,-7.409796131038374,7.103036057149649,0.9999999984251684,48,27.31,0.2914454883430153,0.01,1.0022961,0.99705476,1.0000012,0.34477672,4.4353484e-08,1.25e-05
24.09549,48.0,100000,5.922143543919064e-06,2732,0,2665.967485636111,475,1,739.8048660284603,1,1,-9.81262025621541,2916,1,-2900.101320924123,51,0,1146.2631821765772,0.5415783156631326,0.00594312377604965,-7.947120307789477,8.146220772848995,0.9999999982994315,49,27.87,-0.29189751762896776,0.01,1.0030403,0.99607116,1.0000004,0.3447433,4.2163484e-07,1.25e-05
24.10983,47.5,100000,4.880817045103711e-06,649,1,-28.84856560231492,166,0,-1839.722012462674,102,0,-272.2718533626535,226,0,-2032.312118761861,147,1,-1420.6021318652242,0.5411982396479296,0.0049670351693295416,-7.564302880254793,7.603147016118256,0.9999999983158341,50,28.42,-0.22682932042516768,0.01,1.0018404,0.9977061,1.000001,0.34475222,4.104815e-08,1.25e-05
