_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3495,49,40000,-60,-60,100,-63,-122.2812,51.52059352,-66,-186.8162712,35.32882846,-34,-59.95619032,-62.96568935,-65.96277873,-34.12185472,0.04380968,0.034310646,0.037221269,-0.121854718,0.055090054,0.495924796,-0.852276391,-4.207857026,0,0.999999999,1,0.43,16.16788602,0.19,1.1811378,0.7689424,0.99917233,0.34558246,0.000467082,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.65185,48,40000,6.994484984,6.994484984,100,6.811337524,13.72202858,49.63797798,27.864795,41.42243367,67.2698162,-2.652857963,-39.00462526,36.64727952,54.5258612,-0.19468086,-45.99911025,29.835942,26.6610662,2.458177102,0.001461779,0.523676184,-0.179470307,-3.696282856,6.63050131,0.999999995,11,4.47,3.394235,0.09,1.0173228,0.9870143,0.9999887,0.34560636,6.48E-06,0.0001125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.060975,46.5,40000,12.25976031,12.25976031,100,-2.679470778,9.433417601,-28.40403013,16.67180072,25.99220598,64.14153818,18.81002704,14.78875281,-0.511452854,19.97439194,18.81044939,2.528992504,2.168017924,3.30259122,0.000422353,0.001158199,0.527926396,0.07921892,-8.745107522,3.929019249,0.999999995,12,4.93,-1.498329617,0.08,1.0269606,0.98626566,0.9999694,0.3456636,3.83E-06,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.414675,47.5,40000,-34.87855,-34.87855,100,-34.87855,-69.33925497,50.30130482,11.24004558,-57.26852511,-19.62691645,-54.68115421,-35.37181441,-35.37181441,12.4661022,-56.77046154,-0.493264417,-0.493264417,1.226056624,-2.089307333,0.000853899,0.524651233,-0.105382048,-5.010888691,5.339182231,0.999999994,13,5.23,1.993978765,0.07,1.0105548,0.9874054,0.99999875,0.3455049,1.81E-06,8.75E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.937325,48.5,40000,48.63158617,48.63158617,100,49.75661523,97.80559499,50.87297432,50.87693955,147.5108235,34.49030948,12.60260631,20.73274289,21.81467428,22.88987568,16.83007462,-27.89884328,-27.94194095,-27.98706387,4.227468309,0.000916209,0.523551178,0.06143706,-4.251421199,5.422473408,0.999999994,14,5.69,-1.182637276,0.06,1.0145588,0.98943144,1.0000004,0.3457479,2.48E-06,7.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.80495,47.5,40000,-46.65372203,-46.65372203,100,-28.21962343,-74.31443387,37.97327378,-28.21962343,-101.6437704,27.7632592,-16.91118638,-33.16794891,-18.23895497,-37.10925462,-16.91169977,13.48577311,9.980668467,-8.88963119,-0.000513387,0.001030658,0.523326166,-0.133829143,-4.478125168,6.85289099,0.999999994,15,6.18,2.538615741,0.05,1.0070068,0.9893873,0.9999958,0.34573203,5.06E-07,6.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.95815,48,40000,-37.47952956,-37.47952956,100,-31.00613903,-68.03666383,45.57269167,-37.47952956,-104.7011142,35.79668647,19.56729461,-45.24538948,-22.61540837,-29.0031494,-1.206931287,-7.76585992,8.390730655,8.476380164,-20.7742259,0.001066825,0.524351218,-0.018706977,-4.312210381,5.099947169,0.999999994,16,6.62,0.349343505,0.04,1.029346,0.98048943,1.0000035,0.34589717,7.60E-06,5.00E-05
