_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,
31.669,48,40000,5.81E-05,-27.57912956,-49.92490207,-26.38439026,-34.53774926,-38.83843087,0.451750875,-0.011970645,-6.71382201,5.306478132,0.999999998,26,8.26,0.238811439,0.096,1.0225224,0.9568879,0.99997693,0.3314893,1.34E-05,0.00012
,,,,,,,,,,,,,,,,,,,,,,,
41.578375,43,40000,0.00012745,-27.56548239,-49.60061405,-25.96138244,-33.69231535,-38.70799009,0.392346173,-0.028005945,-6.250403513,6.16680527,0.999999999,27,8.59,0.531461525,0.092,1.0909182,0.99095184,1.0000311,0.31196165,2.18E-05,0.000115
,,,,,,,,,,,,,,,,,,,,,,,
43.789475,45,40000,8.41E-05,-26.11692422,-49.05472566,-24.54239345,-32.08466814,-36.10607726,0.392946473,-0.020229019,-6.159352978,6.307993454,0.999999999,28,8.91,0.393925293,0.088,1.0084224,0.9272256,0.9999447,0.3027548,1.82E-05,0.00011
,,,,,,,,,,,,,,,,,,,,,,,
41.379675,39,40000,0.000115092,-25.02038613,-48.01052215,-24.37196823,-30.75635817,-33.94597108,0.363556778,0.01947877,-6.005367439,15.23240623,0.999999999,29,9.24,-0.381680763,0.084,1.0809083,0.9899123,1.0000482,0.30379677,3.27E-05,0.000105
,,,,,,,,,,,,,,,,,,,,,,,
21.999125,50,40000,2.55E-05,-22.47714961,-45.0060535,-22.89850733,-29.56657209,-32.02769039,0.474087044,0.0207393,-7.143162888,5.852639118,0.999999998,30,9.56,-0.409739604,0.08,1.0053957,0.9837578,1.0000153,0.34389564,1.38E-06,0.0001
,,,,,,,,,,,,,,,,,,,,,,,
25.5289,51.5,40000,2.38E-05,-20.92330189,-44.39028194,-20.92185138,-27.60079744,-31.25854184,0.467233617,0.016302824,-6.204512382,6.300661259,0.999999998,31,9.89,-0.275517159,0.076,1.0797497,0.9817947,0.9999879,0.34345913,1.14E-05,9.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
28.999175,52,40000,3.48E-05,-20.5939427,-43.89353216,-20.76574597,-27.97573152,-31.55464681,0.479089545,-2.31E-05,-6.224180972,12.50292629,0.999999999,32,10.21,-0.001451547,0.072,1.0318917,0.9863425,1.0000043,0.34475595,3.11E-06,9.00E-05
,,,,,,,,,,,,,,,,,,,,,,,
24.5664,51,40000,3.02E-05,-20.2925036,-43.04700054,-22.45247409,-29.81374278,-32.02307556,0.475112556,0.008129352,-6.930138711,6.149275624,0.999999998,33,10.53,-0.146734315,0.068,1.0792279,0.95814985,1.0000267,0.34482715,5.03E-05,8.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
24.1778,50.5,40000,2.30E-05,-19.90917701,-41.87676721,-22.35550036,-28.84837725,-31.16893893,0.484767384,-0.004923932,-6.109015626,6.657068518,0.999999998,34,10.85,0.090538609,0.064,1.0060723,0.99406165,1.0000024,0.34573227,3.81E-07,8.00E-05
,,,,,,,,,,,,,,,,,,,,,,,
31.07525,51,40000,2.33E-05,-20.4383945,-41.79421757,-22.58917658,-28.98218432,-31.03509706,0.481690845,-0.03134342,-6.683815923,5.91658446,0.999999999,35,11.17,0.597734383,0.06,1.01527,0.9913403,0.9999885,0.34530523,3.00E-06,7.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
23.573125,50.5,40000,3.03E-05,-19.96162875,-41.13262379,-21.93101401,-28.55938788,-29.75676523,0.476488244,0.01240888,-6.20388775,7.113036452,0.999999998,36,11.5,-0.233565273,0.056,1.0160638,0.9657346,0.9999725,0.34397233,1.54E-05,7.00E-05
,,,,,,,,,,,,,,,,,,,,,,,
19.867575,49,40000,1.96E-05,-19.10264703,-39.21539272,-20.81023891,-26.16747625,-27.89033027,0.487343672,0.035904035,-7.164850969,6.299856132,0.999999998,37,11.82,-0.675023936,0.052,1.0482485,0.9858104,1.0000083,0.3445995,5.19E-06,6.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
27.5818,51,40000,2.44E-05,-18.18411867,-38.09007634,-20.79445251,-26.45912726,-28.97057558,0.483616808,-0.009510891,-7.03811921,6.432618846,0.999999998,38,12.14,0.162774744,0.048,1.0179886,0.96359223,1.0000128,0.3452058,5.92E-06,6.00E-05
,,,,,,,,,,,,,,,,,,,,,,,
26.455075,51,40000,2.05E-05,-17.71619105,-37.0417901,-20.65361626,-26.53894862,-29.3010283,0.48174087,0.003804476,-7.948797172,5.14689994,0.999999998,39,12.48,-0.072575333,0.044,1.0436144,0.98259014,1.0000199,0.34460247,5.10E-06,5.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
29.94095,51.5,40000,1.82E-05,-17.66862092,-36.28794212,-20.77752726,-26.86946113,-29.06035795,0.475812906,-0.006411037,-6.785342596,8.208594736,0.999999999,40,12.81,0.123314759,0.04,1.0193087,0.9428682,0.9999489,0.3436083,6.31E-06,5.00E-05
,,,,,,,,,,,,,,,,,,,,,,,
29.0817,51,40000,2.43E-05,-17.08537659,-35.33725056,-20.22929306,-26.65542801,-30.5004688,0.469384692,-0.010031127,-7.647834747,6.771872233,0.999999998,41,13.19,0.204904178,0.036,1.0281203,0.99181914,0.9999868,0.34230715,5.20E-06,4.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
25.846325,51,40000,1.59E-05,-17.99597046,-36.04531084,-21.25240159,-27.84700253,-30.69029353,0.483366683,-0.008000899,-6.071837172,6.857867517,0.999999998,42,13.53,0.145919591,0.032,1.0178943,0.9642603,0.9999722,0.3446652,6.17E-06,4.00E-05
,,,,,,,,,,,,,,,,,,,,,,,
26.408625,52,40000,1.11E-05,-18.65223232,-36.23833884,-20.89986148,-26.68272274,-29.379892,0.478289145,-0.01164233,-6.253447437,6.003462551,0.999999998,43,13.88,0.221012106,0.028,1.0086896,0.9848121,0.99997145,0.34412265,2.83E-06,3.50E-05
,,,,,,,,,,,,,,,,,,,,,,,
21.88025,51,40000,8.13E-06,-18.36789674,-35.57672417,-21.30861771,-27.01793965,-27.23629522,0.484192096,0.017543892,-6.081761274,7.484211796,0.999999998,44,14.23,-0.340218408,0.024,1.0121217,0.9755053,0.99999356,0.34522623,3.21E-06,3.00E-05
